fiscal_year,Customer,SubCustomer,CanadaSector,obligatedAmount,numberOfActions,NumberOfContracts
2005,Defense,Army,Other Products,2377871.0000,77,71
2005,Defense,DLA,Other Products,77477333.0000,6982,462
2005,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",3178249.0000,193,172
2005,DHS,OPO,Other R&D and Knowledge Based,20000.0000,1,1
2005,DHS,Other DHS,Other R&D and Knowledge Based,31885.0700,2,3
2005,DHS,TSA,C4ISR,32044.4000,2,2
2005,Energy,Energy,"Weapons, Ammunition and Missiles",0.0000,NULL,1
2005,GSA,GSA,C4ISR,4931129.8800,37,45
2005,GSA,GSA,Other Services,54250.0000,1,2
2005,NASA,NASA,Other R&D and Knowledge Based,256749.9500,8,8
2005,Other Agencies,All other Customers,NULL,14500.0000,1,1
2005,Other Agencies,Commerce,C4ISR,1010889.6700,73,64
2005,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",1679885.5500,71,63
2005,Other Agencies,EPA,C4ISR,343311.8100,32,28
2005,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",679150.0000,76,65
2005,Other Agencies,Justice,Other Products,461871.8800,27,24
2005,Other Agencies,Justice,Other R&D and Knowledge Based,325979.4400,15,14
2005,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",34760.0000,4,3
2005,Other Agencies,NUCLEAR REGULATORY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",2604.0000,1,1
2005,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",75899.8100,2,2
2005,Other Agencies,Transportation,NULL,25768.7400,3,3
2005,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",746215.9600,19,18
2005,Other Agencies,VA,C4ISR,103220.0000,3,3
2005,State and IAP,State,NULL,46848.5500,9,9
2005,State and IAP,State,Land,727617.7800,11,11
2005,State and IAP,State,Other Products,81557.0000,2,2
2005,State and IAP,State,Sea,2489.0000,1,1
2006,Defense,Air Force,NULL,150259.0000,1,1
2006,Defense,Air Force,Land,1452334.0000,37,36
2006,Defense,Army,Air,25119334.2600,69,56
2006,Defense,DLA,NULL,506540.0000,15,17
2006,Defense,DLA,Air,27977561.0000,281,266
2006,Defense,DLA,Other Products,53226063.0000,492,451
2006,Defense,Navy,Other Services,3965557.0000,14,11
2006,DHS,CBP,"Weapons, Ammunition and Missiles",12681.0800,15,15
2006,DHS,COAST GUARD,"Weapons, Ammunition and Missiles",3905.7600,2,1
2006,DHS,FEMA,Other Products,3690000.0000,1,1
2006,DHS,FEMA,Other R&D and Knowledge Based,5240.0000,3,2
2006,DHS,ICE,Other R&D and Knowledge Based,4250.0000,1,1
2006,DHS,OPO,Other R&D and Knowledge Based,0.0000,1,1
2006,DHS,TSA,C4ISR,-13151.0000,2,2
2006,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",217687.7300,6,9
2006,Energy,Energy,Other Services,11033.0000,1,1
2006,GSA,GSA,C4ISR,1567336.6900,36,50
2006,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",9652746.7900,1000,980
2006,HHS,HHS,Other Services,125778.5300,12,7
2006,NASA,NASA,Other Services,43990.0000,3,2
2006,Other Agencies,Agriculture,Land,6500.0000,2,2
2006,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",34517.1800,5,5
2006,Other Agencies,Commerce,Air,8457681.4100,6,5
2004,Other Agencies,Interior,Other R&D and Knowledge Based,3001522.7500,115,97
2004,Other Agencies,Interior,Sea,4897157.1800,30,2
2004,Other Agencies,Labor,C4ISR,16894.0000,2,2
2004,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",1225428.5100,21,21
2004,Other Agencies,VA,Other R&D and Knowledge Based,349704.9000,4,2
2004,State and IAP,State,Other R&D and Knowledge Based,602164.0000,8,9
2004,State and IAP,State,"Weapons, Ammunition and Missiles",1489721.6000,4,4
2005,Defense,Air Force,Air,85801069.0000,176,133
2005,Defense,Army,Other R&D and Knowledge Based,7663543.0000,75,61
2005,Defense,Army,"Weapons, Ammunition and Missiles",76029504.0000,79,52
2005,Defense,DLA,NULL,1901004.0000,28,29
2005,Defense,DLA,Other R&D and Knowledge Based,7800.0000,1,1
2005,Defense,DLA,"Weapons, Ammunition and Missiles",508906.0000,37,38
2005,Defense,Navy,C4ISR,30311229.0000,315,288
2005,Defense,Navy,Land,5634804.0000,41,36
2005,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",4419058.0000,64,57
2005,DHS,CBP,NULL,3212.0200,5,5
2005,DHS,COAST GUARD,C4ISR,1267371.6100,39,33
2005,DHS,COAST GUARD,Other Products,451701.2200,36,27
2005,DHS,Other DHS,C4ISR,28899.8900,5,5
2005,DHS,Other DHS,Land,39005.7500,4,4
2005,GSA,GSA,Other Products,566174.0100,136,134
2005,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",177148.0000,58,4
2005,Other Agencies,Commerce,"Weapons, Ammunition and Missiles",1665.0000,1,1
2005,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",62095.4000,1,1
2005,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,33178.8400,2,2
2005,Other Agencies,HUD,"Other Facilities, Construction, Manufacturing and Testing",159467.2200,5,5
2005,Other Agencies,Interior,Air,720727.7500,11,9
2005,Other Agencies,NATIONAL SCIENCE FOUNDATION,Air,73720.0000,1,1
2005,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",48747.2200,8,7
2005,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,Other R&D and Knowledge Based,8256.0000,1,1
2005,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,35970.0000,1,1
2005,Other Agencies,Transportation,Other Products,-10000.0000,2,1
2005,Other Agencies,Transportation,Sea,25348.3600,3,1
2005,State and IAP,USAID,C4ISR,142220.0000,3,3
2006,Defense,Army,Other Products,7180553.0300,164,83
2006,Defense,Navy,"Weapons, Ammunition and Missiles",8116372.8400,30,27
2006,Defense,Other DoD,Air,10333622.5000,16,9
2006,Defense,Other DoD,C4ISR,3720952.0000,33,23
2006,DHS,CBP,C4ISR,943971.7200,12,12
2006,DHS,CBP,Other Products,21591.6400,2,1
2006,DHS,COAST GUARD,NULL,228313.8700,37,33
2006,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",97658.9300,2,1
2006,DHS,ICE,Other Products,61424.8600,2,2
2006,DHS,Other DHS,"Weapons, Ammunition and Missiles",473211.5000,5,7
2005,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",25342987.4100,359,315
2005,Defense,Army,Other Services,184750.0000,4,3
2005,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",14210613.0000,150,152
2005,Defense,Navy,Other Products,15475912.0000,98,80
2005,DHS,CBP,Air,104337.0000,4,4
2005,DHS,CBP,Other Services,92500.0000,10,9
2005,DHS,COAST GUARD,Land,41584.0000,1,1
2005,DHS,Other DHS,Other Products,308079.4100,1,1
2005,HHS,HHS,Other Products,492710.0000,8,7
2005,NASA,NASA,C4ISR,48810675.3000,43,16
2005,NASA,NASA,Space,51057232.0000,14,2
2005,Other Agencies,Agriculture,Other R&D and Knowledge Based,8888037.9000,22,22
2005,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",348.7500,1,1
2005,Other Agencies,Commerce,Other Products,1032.7800,6,5
2005,Other Agencies,Commerce,Other R&D and Knowledge Based,1236920.0000,57,50
2005,Other Agencies,Commerce,Sea,113172.9800,12,7
2005,Other Agencies,EPA,Other Products,9523.0000,4,4
2005,Other Agencies,EPA,Other R&D and Knowledge Based,192159.0000,34,27
2005,Other Agencies,EPA,Sea,40525.0000,1,1
2005,Other Agencies,Justice,C4ISR,27974270.0700,108,113
2005,Other Agencies,Justice,Land,49585.9400,3,3
2005,Other Agencies,Labor,Other R&D and Knowledge Based,10708055.0000,8,3
2005,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,46253.2500,19,9
2005,Other Agencies,Transportation,Other R&D and Knowledge Based,987667.5300,17,12
2005,Other Agencies,Treasury,C4ISR,569380.2000,23,18
2005,State and IAP,State,Other Services,679220.5200,24,25
2006,Defense,Army,Space,28463.0000,1,1
2006,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",3527689.1900,157,144
2006,Defense,Navy,Other R&D and Knowledge Based,11078013.7100,46,40
2006,Defense,Navy,Sea,18173618.9100,165,137
2006,Defense,Other DoD,Land,21500.0000,2,2
2006,DHS,COAST GUARD,Air,10504855.9900,99,43
2006,DHS,COAST GUARD,Other Services,36527.5800,4,3
2006,DHS,ICE,C4ISR,274989.0000,18,18
2006,DHS,Other DHS,NULL,0.0000,2,1
2006,DHS,Other DHS,Other R&D and Knowledge Based,68292.5000,1,1
2006,DHS,TSA,"Weapons, Ammunition and Missiles",149583.9600,1,1
2006,GSA,GSA,"Weapons, Ammunition and Missiles",0.0000,NULL,1
2006,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1177468.0100,50,41
2006,HHS,HHS,Other R&D and Knowledge Based,19882039.9500,78,57
2006,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",250906.2900,9,9
2006,Other Agencies,Commerce,NULL,35777.2100,8,8
2006,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Other R&D and Knowledge Based,29209.8400,2,2
2006,Other Agencies,FEDERAL TRADE COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",100001.0000,3,3
2006,Other Agencies,Interior,C4ISR,5070431.4100,200,176
2006,Other Agencies,Justice,Air,3675.0000,1,1
2006,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,70000.0000,1,1
2005,Other Agencies,Agriculture,C4ISR,1875221.9400,38,33
2005,Other Agencies,Agriculture,Other Services,101195.1600,7,5
2005,Other Agencies,All other Customers,C4ISR,158197.0000,7,7
2005,Other Agencies,FEDERAL TRADE COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",6794.0000,1,1
2005,Other Agencies,Interior,Other Products,531834.8500,60,57
2005,Other Agencies,Labor,NULL,20997.0000,5,5
2005,Other Agencies,Transportation,C4ISR,1565665.9100,10,8
2005,Other Agencies,Transportation,Space,422032.0000,3,4
2005,Other Agencies,Treasury,NULL,515.0000,2,1
2005,Other Agencies,Treasury,Other R&D and Knowledge Based,39700.0000,6,3
2005,Other Agencies,VA,Other Products,667690.6200,311,27
2005,State and IAP,State,C4ISR,233834.1700,15,16
2006,Defense,Air Force,C4ISR,18458723.0000,89,80
2006,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",4751773.0000,187,167
2006,Defense,Air Force,Other Services,105431.0000,12,10
2006,Defense,Army,C4ISR,151416042.7700,274,216
2006,Defense,Army,Other Services,204710.0000,12,12
2006,Defense,DLA,C4ISR,2801787.0000,176,173
2006,Defense,DLA,Other Services,68085.0000,1,1
2006,Defense,Navy,Air,47077130.8300,192,173
2006,DHS,ICE,"Weapons, Ammunition and Missiles",62732.8200,5,4
2006,Energy,Energy,NULL,55714.3600,5,5
2006,Energy,Energy,Other R&D and Knowledge Based,39193.9800,9,6
2006,GSA,GSA,Land,53776.0800,18,15
2006,HHS,HHS,Other Products,509935314.0000,15,13
2006,NASA,NASA,Other Products,15071.0800,2,2
2006,Other Agencies,NULL,Other Products,12360088.0000,10584,22
2006,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",990340.1400,48,43
2006,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",63106.0500,9,6
2006,Other Agencies,Commerce,Other R&D and Knowledge Based,814438.7500,57,46
2006,Other Agencies,Education,NULL,20908.6000,3,3
2006,Other Agencies,Education,Other R&D and Knowledge Based,13645.0000,1,1
2006,Other Agencies,EPA,NULL,24982.0000,1,1
2006,Other Agencies,EPA,Other R&D and Knowledge Based,390886.5100,26,24
2006,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,13180.4000,2,2
2006,Other Agencies,FEDERAL ELECTION COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",1112.0000,3,2
2006,Other Agencies,Interior,NULL,179555.4200,30,25
2006,Other Agencies,Interior,Other R&D and Knowledge Based,2905596.8400,136,123
2006,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",12305057.6600,356,352
2006,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,21000.0000,1,1
2006,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,4000.0000,1,1
2006,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",1438097.8300,7,5
2006,Other Agencies,VA,Land,7685.6200,1,1
2006,Other Agencies,VA,Other R&D and Knowledge Based,108855.3000,6,6
2006,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",9495302.2600,663,125
2005,Other Agencies,Commerce,Land,35650.0000,4,3
2005,Other Agencies,Education,NULL,17175.0000,1,1
2005,Other Agencies,EPA,NULL,2400.0000,2,1
2005,Other Agencies,Exec Office,"Other Facilities, Construction, Manufacturing and Testing",35206.2000,2,2
2005,Other Agencies,FEDERAL ELECTION COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",1080.0000,2,2
2005,Other Agencies,Interior,NULL,40872.6400,13,10
2005,Other Agencies,Interior,Land,209277.4700,10,7
2005,Other Agencies,Interior,Other R&D and Knowledge Based,3987427.3400,136,114
2005,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",15204771.4300,487,470
2005,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,15530.0000,4,3
2005,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",70333.8700,7,7
2005,Other Agencies,Treasury,Other Products,2359180.1900,4,7
2005,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",7491592.4300,700,192
2006,Defense,Air Force,"Weapons, Ammunition and Missiles",482534.0000,8,8
2006,Defense,Navy,Land,8574896.5800,62,57
2006,DHS,CBP,Other R&D and Knowledge Based,61950.0000,2,2
2006,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",52941.7000,5,5
2006,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",238717.1800,18,17
2006,DHS,TSA,Other Products,64495.8300,6,5
2006,Energy,Energy,Other Products,-170481.9800,10,8
2006,GSA,GSA,Air,276056.0000,2,1
2006,GSA,GSA,Other Products,405968.6900,80,80
2006,HHS,HHS,NULL,3845809.4800,49,43
2006,NASA,NASA,NULL,310943.0700,39,33
2006,Other Agencies,NULL,Other R&D and Knowledge Based,6000.0000,1,1
2006,Other Agencies,Agriculture,C4ISR,5242898.6300,72,66
2006,Other Agencies,Agriculture,Other Services,1675527.2600,15,14
2006,Other Agencies,All other Customers,C4ISR,104045.0000,8,7
2006,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,C4ISR,60210.0000,5,1
2006,Other Agencies,Interior,Other Products,3997372.2000,78,71
2006,Other Agencies,Justice,"Weapons, Ammunition and Missiles",162360.1200,3,3
2006,Other Agencies,Labor,NULL,10664.0000,2,2
2006,Other Agencies,Transportation,C4ISR,479185.0000,14,15
2006,Other Agencies,Transportation,Space,4000.0000,7,4
2006,Other Agencies,Treasury,Other R&D and Knowledge Based,456081.5600,4,4
2006,Other Agencies,VA,Other Products,2955158.9600,1144,618
2006,State and IAP,State,C4ISR,1295292.5700,20,19
2007,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",3192073.6900,161,131
2007,Defense,Army,C4ISR,153947298.9000,378,255
2007,Defense,Army,Other Services,2008722.0000,14,11
2007,Defense,DLA,C4ISR,2658004.0000,165,164
2007,Defense,Navy,Air,32221594.5900,160,138
2007,Defense,Navy,Other Products,1289675.3100,62,56
2007,DHS,FEMA,Other Services,3575.1600,2,1
2007,DHS,OPO,"Weapons, Ammunition and Missiles",7492.5000,1,1
2007,DHS,TSA,Other R&D and Knowledge Based,164968.0000,NULL,1
2005,Defense,Navy,Other R&D and Knowledge Based,7548354.0000,79,65
2005,Defense,Navy,Other Services,2799338.0000,8,4
2005,DHS,CBP,Other Products,4548.6000,1,1
2005,DHS,CBP,Sea,45000.0000,1,1
2005,DHS,COAST GUARD,Other Services,35119.2800,2,1
2005,DHS,FEMA,Other R&D and Knowledge Based,13007980.4100,3,3
2005,DHS,ICE,C4ISR,567226.0000,4,3
2005,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",32742.0000,3,2
2005,DHS,Other DHS,NULL,2927.0500,1,1
2005,DHS,TSA,"Weapons, Ammunition and Missiles",271200.0000,2,1
2005,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",79200.0000,2,3
2005,GSA,GSA,NULL,7160.1700,2,2
2005,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1227279.2900,47,40
2005,HHS,HHS,Other R&D and Knowledge Based,16441930.8700,67,49
2005,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",472437.8000,29,26
2005,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,5400.0000,1,1
2005,Other Agencies,Commerce,NULL,162682.7200,20,17
2005,Other Agencies,Commerce,Air,73713.7400,3,3
2005,Other Agencies,Education,Other R&D and Knowledge Based,880001.0000,6,1
2005,Other Agencies,EPA,Air,0.0000,NULL,1
2005,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,3824.0000,1,1
2005,Other Agencies,Exec Office,C4ISR,4690.0000,2,2
2005,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",4644590.4800,286,225
2005,Other Agencies,Interior,Sea,10988188.3500,12,3
2005,Other Agencies,RAILROAD RETIREMENT BOARD,"Other Facilities, Construction, Manufacturing and Testing",4583.0600,1,1
2005,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,155000.0000,2,2
2005,State and IAP,State,"Weapons, Ammunition and Missiles",390693.9500,7,7
2006,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",22220416.4300,296,246
2006,Defense,Army,Other R&D and Knowledge Based,14465808.6500,48,40
2006,Defense,Army,Sea,5115.0000,3,3
2006,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",9621747.0000,147,149
2006,Defense,DLA,Sea,767272.0000,17,15
2006,Defense,Other DoD,Other R&D and Knowledge Based,1066967.0000,6,5
2006,DHS,CBP,Other Services,2333814.2900,80,55
2006,DHS,COAST GUARD,C4ISR,2639308.9800,38,31
2006,DHS,COAST GUARD,Land,84663.6500,5,4
2006,Energy,Energy,Air,1376670.0000,1,1
2006,NASA,NASA,Air,17000.0000,1,1
2006,Other Agencies,Commerce,Other Products,14517.0000,2,2
2006,Other Agencies,Commerce,Sea,1002280.4000,17,15
2006,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",11315.8000,5,3
2006,Other Agencies,EPA,Other Products,26876.0400,7,7
2006,Other Agencies,Interior,Air,129477.0600,11,10
2006,Other Agencies,Justice,Other Products,708421.3900,41,36
2006,Other Agencies,Labor,Other R&D and Knowledge Based,7667575.0000,6,3
2005,Other Agencies,Agriculture,Land,5000.0000,1,1
2005,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,145923.0000,NULL,1
2005,Other Agencies,Education,C4ISR,29246.9800,3,3
2005,Other Agencies,EPA,Other Services,228119.9100,6,6
2005,Other Agencies,Interior,C4ISR,3916820.7800,208,181
2005,Other Agencies,Interior,Other Services,181091.5800,24,18
2005,Other Agencies,Justice,NULL,141450.6800,16,15
2005,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,11180.0000,1,1
2005,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,20732.6000,2,2
2005,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",56011.4000,1,1
2006,Defense,Air Force,Other Products,1013819.0000,23,23
2006,Defense,Air Force,Other R&D and Knowledge Based,382273.0000,10,10
2006,Defense,Army,Land,100816576.1800,420,378
2006,Defense,DLA,Land,3845687.0000,626,514
2006,Defense,Navy,C4ISR,40617534.1600,291,261
2006,Defense,Other DoD,Other Products,57328.0000,5,5
2006,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",1409.0900,13,12
2006,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",542363.7400,28,23
2006,DHS,COAST GUARD,Sea,1992483.8300,37,32
2006,DHS,FEMA,NULL,2888.0000,1,1
2006,Energy,Energy,C4ISR,1401155.9800,31,29
2006,Energy,Energy,"Weapons, Ammunition and Missiles",0.0000,NULL,1
2006,GSA,GSA,Other Services,0.0000,NULL,1
2006,HHS,HHS,C4ISR,920736.1100,20,17
2006,Other Agencies,Agriculture,NULL,73241.9700,9,9
2006,Other Agencies,Agriculture,Other Products,361444.8700,22,20
2006,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,294264.0000,4,4
2006,Other Agencies,BROADCASTING BOARD OF GOVERNORS,"Other Facilities, Construction, Manufacturing and Testing",5599.0800,1,1
2006,Other Agencies,Commerce,C4ISR,1043153.7400,71,58
2006,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,C4ISR,2771.2500,1,1
2006,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",4168.0000,1,1
2006,Other Agencies,Education,C4ISR,26689.2700,3,3
2006,Other Agencies,EPA,C4ISR,212459.6700,23,17
2006,Other Agencies,EPA,Other Services,6000.0000,1,1
2006,Other Agencies,Interior,"Weapons, Ammunition and Missiles",5755.8800,1,1
2006,Other Agencies,Labor,C4ISR,73489.7500,6,4
2006,Other Agencies,Transportation,Other R&D and Knowledge Based,60411.9500,11,10
2006,Other Agencies,VA,Other Services,46030.0000,2,2
2006,State and IAP,MILLENNIUM CHALLENGE CORPORATION,"Other Facilities, Construction, Manufacturing and Testing",1643136.0000,2,2
2007,Defense,Air Force,Other R&D and Knowledge Based,1697796.0000,17,11
2007,Defense,Army,Air,15825438.1700,75,56
2007,Defense,Army,Land,154961979.2900,355,274
2007,Defense,DLA,NULL,799499.0000,14,14
2007,Defense,DLA,Land,13158208.0000,324,324
2007,Defense,Other DoD,Other Products,61584.0000,5,5
2007,Defense,Other DoD,Sea,405105.0600,7,7
2007,DHS,CBP,Air,126149.0600,17,8
2006,DHS,TSA,Other R&D and Knowledge Based,450000.0000,NULL,1
2006,GSA,GSA,Other R&D and Knowledge Based,98012.0000,4,1
2006,GSA,GSA,Sea,0.0000,2,2
2006,NASA,NASA,Other R&D and Knowledge Based,123279.0000,10,7
2006,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Products,57205.0000,2,2
2006,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,6900.0000,1,1
2006,Other Agencies,Commerce,Other Services,331022.0000,3,2
2006,Other Agencies,Exec Office,C4ISR,29814.0000,4,3
2006,Other Agencies,FEDERAL ELECTION COMMISSION,C4ISR,4871.0000,1,1
2006,Other Agencies,HUD,C4ISR,38259.1700,2,2
2006,Other Agencies,Interior,Land,38786.8600,2,2
2006,Other Agencies,Interior,Sea,5282135.1500,15,4
2006,Other Agencies,Justice,NULL,177676.7500,16,14
2006,Other Agencies,Justice,Other Services,14044.3100,4,2
2006,Other Agencies,Labor,Other Services,8431.0000,1,1
2006,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,19190.1500,1,1
2006,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,58973.6900,1,1
2006,Other Agencies,Transportation,Other Services,4089.9000,2,2
2006,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",3346372.5200,634,294
2006,State and IAP,MILLENNIUM CHALLENGE CORPORATION,Other R&D and Knowledge Based,199340.3100,3,3
2006,State and IAP,PEACE CORPS,Other Services,4000.0000,1,1
2006,State and IAP,State,Other R&D and Knowledge Based,593877.0700,27,25
2006,State and IAP,State,"Weapons, Ammunition and Missiles",135388.0000,4,3
2007,Defense,Air Force,Air,115198097.4500,158,123
2007,Defense,Army,Other R&D and Knowledge Based,36782455.5800,67,43
2007,Defense,Army,"Weapons, Ammunition and Missiles",111183879.2700,95,51
2007,Defense,DLA,Other R&D and Knowledge Based,2495.0000,1,1
2007,Defense,DLA,"Weapons, Ammunition and Missiles",626467.0000,29,29
2007,Defense,Other DoD,Other R&D and Knowledge Based,3180715.1000,20,11
2007,DHS,CBP,NULL,13000.0000,1,1
2007,DHS,CBP,Other R&D and Knowledge Based,24316.8000,3,3
2007,DHS,COAST GUARD,C4ISR,1545659.9300,37,36
2007,DHS,COAST GUARD,Other Products,454275.4500,27,26
2007,DHS,ICE,Other Services,3000.0000,2,1
2007,DHS,OPO,C4ISR,156245.9600,3,3
2007,DHS,Other DHS,C4ISR,769057.3800,13,13
2007,Energy,Energy,Other Services,27486.0000,2,1
2007,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",-102.0000,1,1
2007,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,Other R&D and Knowledge Based,21300.0000,2,1
2007,Other Agencies,Interior,Air,1446217.6700,13,10
2007,Other Agencies,Interior,Other Services,453966.1500,37,30
2007,Other Agencies,Justice,Other Products,552007.3300,31,27
2007,Other Agencies,NUCLEAR REGULATORY COMMISSION,NULL,8360.0000,1,1
2007,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,538900.0000,3,2
2007,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,68616.4000,3,2
2005,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",5223872.7200,176,151
2005,Defense,Air Force,Sea,24615.0000,2,2
2005,Defense,Army,C4ISR,71639868.0000,284,235
2005,Defense,Army,Land,194590722.0000,583,545
2005,Defense,Navy,"Weapons, Ammunition and Missiles",10312216.0000,24,22
2005,Defense,Other DoD,C4ISR,4531595.0300,29,26
2005,Defense,Other DoD,Land,14584.0000,1,1
2005,Defense,Other DoD,Space,468172.0000,1,1
2005,DHS,CBP,C4ISR,164179.0000,7,7
2005,DHS,COAST GUARD,NULL,274062.2500,59,46
2005,DHS,COAST GUARD,Air,5084478.0000,52,36
2005,DHS,ICE,Other Products,14648.4500,5,2
2005,DHS,TSA,"Other Facilities, Construction, Manufacturing and Testing",59337.0600,2,1
2005,DHS,TSA,Other R&D and Knowledge Based,969458.3000,4,2
2005,GSA,GSA,Other R&D and Knowledge Based,0.0000,NULL,1
2005,Other Agencies,Agriculture,Air,451790.5000,2,2
2005,Other Agencies,Agriculture,Other Products,175375.0000,5,5
2005,Other Agencies,Commerce,Other Services,261814.6900,7,6
2005,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,C4ISR,112384.0000,6,1
2005,Other Agencies,Justice,Other Services,39366.0000,6,6
2005,Other Agencies,Labor,C4ISR,48238.0000,5,5
2005,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,111117.0000,3,2
2005,Other Agencies,SMITHSONIAN INSTITUTION,C4ISR,324115.1800,3,1
2005,Other Agencies,Transportation,Other Services,12000.0000,1,1
2005,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",1204876.9000,25,25
2005,Other Agencies,VA,Other R&D and Knowledge Based,1059155.0000,2,2
2005,State and IAP,State,Other R&D and Knowledge Based,413295.9600,15,14
2006,Defense,Air Force,Air,117951288.5300,167,138
